ISO3,Year,Month,Total,Domestic,International,Total_OS,ADM_name,Date,Name,Type
AUS,2014,1,7992.0,4790.0,3202.0,12600.04,Australia,2014-01-31,Chinese New Year,Observance
AUS,2014,1,7992.0,4790.0,3202.0,12600.04,Australia,2014-01-01,New Year's Day,Public holiday
AUS,2014,1,7992.0,4790.0,3202.0,12600.04,Australia,2014-01-26,Australia Day,Public holiday
AUS,2014,1,7992.0,4790.0,3202.0,12600.04,Australia,2014-01-27,Australia Day observed,Public holiday
AUS,2014,2,6697.0,4207.0,2490.0,10731.179,Australia,2014-02-14,Valentine's Day,Observance
AUS,2014,3,7277.0,4745.0,2532.0,11823.253,Australia,2014-03-17,St Patrick's Day,Observance
AUS,2014,3,7277.0,4745.0,2532.0,11823.253,Australia,2014-03-20,National Close the Gap Day,Observance
AUS,2014,3,7277.0,4745.0,2532.0,11823.253,Australia,2014-03-21,Harmony Day,Observance
AUS,2014,3,7277.0,4745.0,2532.0,11823.253,Australia,2014-03-10,Canberra Day,Public holiday
AUS,2014,4,7467.0,4757.0,2710.0,12026.674,Australia,2014-04-19,Holy Saturday,Local holiday
AUS,2014,4,7467.0,4757.0,2710.0,12026.674,Australia,2014-04-20,Easter Sunday,Observance
AUS,2014,4,7467.0,4757.0,2710.0,12026.674,Australia,2014-04-18,Good Friday,Public holiday
AUS,2014,4,7467.0,4757.0,2710.0,12026.674,Australia,2014-04-21,Easter Monday,Public holiday
AUS,2014,4,7467.0,4757.0,2710.0,12026.674,Australia,2014-04-25,ANZAC Day,Public holiday
AUS,2014,5,6977.0,4529.0,2449.0,11312.633,Australia,2014-05-11,Mother's Day,Observance
AUS,2014,5,6977.0,4529.0,2449.0,11312.633,Australia,2014-05-26,National Sorry Day,Observance
AUS,2014,6,7033.0,4447.0,2585.0,11296.644,Australia,2014-06-09,Queen's Birthday,Local holiday
AUS,2014,6,7033.0,4447.0,2585.0,11296.644,Australia,2014-06-06,Queensland Day,Local observance
AUS,2014,7,7956.0,4998.0,2957.0,12768.295,Australia,2014-07-06,First Day of NAIDOC Week,Observance
AUS,2014,9,7586.0,4805.0,2781.0,12210.658,Australia,2014-09-07,Father's Day,Observance
AUS,2014,10,8093.0,5239.0,2855.0,13140.036,Australia,2014-10-23,Diwali/Deepavali,Observance
AUS,2014,10,8093.0,5239.0,2855.0,13140.036,Australia,2014-10-31,Halloween,Observance
AUS,2014,11,7436.0,4767.0,2669.0,12001.636,Australia,2014-11-11,Remembrance Day,Observance
